time,total,male,female
0,10494888.27,4978899.324,5515988.955
1,10480293.66,4969870.753,5510422.909
2,10471298.63,4964201.622,5507097.02
3,10466088.93,4961060.731,5505028.197
4,10467050.74,4961551.179,5505499.555
5,10479054.26,4969022.28,5510031.976
6,10511078.5,4987550.281,5523528.22
7,10623120.55,5044597.638,5578522.921
8,10783050.27,5114020.158,5669030.12
9,10911388.46,5166759.978,5744628.487
10,10999266.27,5200936.228,5798330.036
11,11059507.43,5223377.845,5836129.586
12,11107979.82,5243260.085,5864719.741
13,11146326.35,5260272.351,5886054.011
14,11164436.1,5269538.108,5894897.989
15,11163153.81,5272431.828,5890721.979
16,11145787.48,5272233.808,5873553.668
17,11123184.88,5271935.069,5851249.817
18,11051943.29,5248299.524,5803643.764
19,10934850.43,5196522.712,5738327.715
20,10847322.96,5156669.669,5690653.281
21,10759574.42,5115215.548,5644358.877
22,10655615.18,5065694.866,5589920.311
23,10526251.05,4998678.964,5527572.087
avg,10807187.99,5121358.356,5685829.634
